nom;idparking;commune;insee;proprietaire;parkingtempsreel;capacite;capacite2rm;capacitevelo;capaciteautopartage;capacitepmr;usage;vocation;reglementation;fermeture
Bourg;P899;Lissieu;69117;COMMUNE;False;21;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Quincieux - Bottière;P9015;Quincieux;69163;;;;;;;;;;;
Les Serres;P596;Vénissieux;69259;GRAND LYON;False;15;0;0;0;2;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
Place de l'Eglise;P381;Saint-Romain-au-Mont-d'Or;69233;COMMUNE;False;6;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Place de Verdun;P429;Genay;69278;GRAND LYON;False;16;0;5;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Esplanade Itzhak Rabin;P526;Meyzieu;69282;COMMUNE;False;81;0;5;0;3;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
Fort du Paillet;P582;Dardilly;69072;COMMUNE;False;35;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Place Favard;P862;Saint-Priest;69290;GRAND LYON;False;22;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Château du Fort;P323;Feyzin;69276;COMMUNE;False;70;;;;;Libre;;Gratuit;Ouvert 24h/24h
Garderie;P609;Poleymieux-au-Mont-d'Or;69153;COMMUNE;False;5;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h
Cimetière des Presles;P907;Irigny;69100;COMMUNE;False;62;0;0;0;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
P+R Vaulx en Velin La Soie;P52;Vaulx-en-Velin;69256;SYTRAL;True;474;0;142;0;10;Libre;;Gratuit;Nuit
Rimaud;P319;Écully;69081;GRAND LYON;False;15;;;;;Libre;Mixte;Gratuit;Ouvert 24h/24h
Terme;P102;Lyon 1er Arrondissement;69381;Particulier;False;84;;;;;Réservé abonnés;Résidentielle;Payant;Ouvert 24h/24h
Nelson Mandela;P930;Givors;69091;;False;45;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
CC Givors 2 vallées;P153;Givors;69091;PRIVE;False;2154;;;0;20;Libre;Commerciale;Gratuit;Ouvert 24h/24h
Place Saint Rambert;P757;Lyon 9e Arrondissement;69389;GRAND LYON;False;15;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Verdun;P105;Lyon 2e Arrondissement;69382;SNCF;;200;;;;;;;;
Ermitage;P451;Saint-Cyr-au-Mont-d'Or;69191;GRAND LYON;False;6;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
P+R Oullins Sud;P63;Oullins;69149;SYTRAL;True;306;0;0;;7;Libre;;Gratuit;Nuit
